,alpha,beta,gamma,tau,scf_bc,nn_scf_bc
638,31.0,0.3,14.0,1.0,2.583668476,0.2024994
639,40.0,0.3,14.0,1.0,0.0007160893316,0.21850555
640,4.0,0.4,14.0,1.0,1.199418131,1.0907612
641,13.0,0.4,14.0,1.0,0.2683441508,0.27593154
642,22.0,0.4,14.0,1.0,0.3004759082,0.27239758
643,31.0,0.4,14.0,1.0,0.3508085531,0.2699949
644,40.0,0.4,14.0,1.0,0.4017948332,0.42586067
645,4.0,0.5,14.0,1.0,1.542456452,1.4779925
646,13.0,0.5,14.0,1.0,0.4921841982,0.44990504
647,22.0,0.5,14.0,1.0,0.599629218,0.4740898
648,31.0,0.5,14.0,1.0,0.729730751,0.6287509
649,40.0,0.5,14.0,1.0,0.8609000352,0.93862504
650,4.0,0.6,14.0,1.0,1.84680384,1.6906224
651,13.0,0.6,14.0,1.0,0.7250552213,0.6964431
652,22.0,0.6,14.0,1.0,0.9249538605,0.8461648
653,31.0,0.6,14.0,1.0,1.1512765,1.1911042
654,40.0,0.6,14.0,1.0,1.378888213,1.4848181
655,4.0,0.7,14.0,1.0,1.996458092,1.9792602
656,13.0,0.7,14.0,1.0,0.9568683987,1.1242533
657,22.0,0.7,14.0,1.0,1.254150193,1.3787143
658,31.0,0.7,14.0,1.0,1.580604876,1.6349095
659,40.0,0.7,14.0,1.0,1.908377887,1.8496107
660,4.0,0.2,20.0,1.0,0.6190135142,0.68622434
661,13.0,0.2,20.0,1.0,0.2134361609,0.069051005
662,22.0,0.2,20.0,1.0,0.2918495226,0.11658652
663,31.0,0.2,20.0,1.0,0.3253720718,0.16075407
664,40.0,0.2,20.0,1.0,0.3577795149,0.2049216
665,4.0,0.3,20.0,1.0,1.071687336,0.9069158
666,13.0,0.3,20.0,1.0,0.04254502243,0.14787115
667,22.0,0.3,20.0,1.0,0.01909292726,0.16387728
668,31.0,0.3,20.0,1.0,0.01031456078,0.17741466
669,40.0,0.3,20.0,1.0,0.0003080452775,0.18902662
670,4.0,0.4,20.0,1.0,1.424482851,1.2891186
671,13.0,0.4,20.0,1.0,0.1931784159,0.26219374
672,22.0,0.4,20.0,1.0,0.1689905883,0.2542656
673,31.0,0.4,20.0,1.0,0.2374999051,0.2463375
674,40.0,0.4,20.0,1.0,0.3072578028,0.30113602
675,4.0,0.5,20.0,1.0,1.805934305,1.6364572
676,13.0,0.5,20.0,1.0,0.3340866272,0.41588548
677,22.0,0.5,20.0,1.0,0.36686872,0.41378075
678,31.0,0.5,20.0,1.0,0.5126502469,0.5082263
679,40.0,0.5,20.0,1.0,0.6596089517,0.7225124
680,4.0,0.6,20.0,1.0,2.051824528,1.8541378
681,13.0,0.6,20.0,1.0,0.5258154848,0.5126678
682,22.0,0.6,20.0,1.0,0.6293857568,0.6190811
683,31.0,0.6,20.0,1.0,0.8570282896,0.8073353
684,40.0,0.6,20.0,1.0,1.085584165,1.1490656
